Ticker,Accuracy(%),F1-Score,AUC,TP,FP,FN,TN
TSLA,45.28,0.482,0.461,27,22,36,21
MSFT,53.63,0.579,0.555,114,77,89,78
AMZN,52.16,0.686,0.507,121,111,0,0
GOOGL,54.22,0.632,0.497,121,98,43,46
GE,46.69,0.515,0.475,137,173,85,89
GS,49.16,0.216,0.51,25,24,158,151
IBM,50.0,0.485,0.52,114,97,145,128
JPM,48.35,0.273,0.467,47,54,196,187
FB,55.66,0.708,0.561,57,47,0,2
AAPL,44.41,0.123,0.511,14,15,184,145
