Ticker,Accuracy(%),F1-Score,AUC,TP,FP,FN,TN
TSLA,48.11,0.53,0.454,31,23,32,20
MSFT,56.98,0.715,0.514,193,144,10,11
AMZN,45.69,0.337,0.528,32,37,89,74
GOOGL,57.79,0.626,0.535,109,75,55,69
GE,49.59,0.527,0.483,136,158,86,104
GS,50.28,0.136,0.522,14,9,169,166
IBM,52.27,0.524,0.518,127,99,132,126
JPM,50.41,0.111,0.522,15,12,228,229
FB,52.83,0.528,0.588,28,21,29,28
AAPL,48.04,0.363,0.526,53,41,145,119
