Ticker,Accuracy(%),F1-Score,AUC,TP,FP,FN,TN
TSLA,42.45,0.419,0.415,22,20,41,23
MSFT,56.7,0.724,0.484,203,155,0,0
AMZN,52.16,0.686,0.461,121,111,0,0
GOOGL,56.49,0.662,0.533,131,101,33,43
GE,50.41,0.576,0.533,163,181,59,81
GS,51.12,0.286,0.532,35,27,148,148
IBM,48.97,0.464,0.505,107,95,152,130
JPM,49.59,0.181,0.523,27,28,216,213
FB,52.83,0.51,0.55,26,19,31,30
AAPL,46.65,0.22,0.502,27,20,171,140
